Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Proprietary Compound,Compound Concentration (microMolar),Compound InChIKey,Compound SMILES,Comment [Gene Identifier],Comment [Gene Symbol],Control Type,Channels,Score,Has Phenotype,Phenoptye Annotation Level,Phenotype,Phenotype Term Name,Phenotype Term Accession
1093670859,H4,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,51.44245148,,,,,
1093670859,H5,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1060124720,3.125,,,8621,CDK13,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1193.205322,,,,,
1093670859,H6,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1060124720,1.25,,,8621,CDK13,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1085.001221,,,,,
1093670859,H7,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1060124720,0.3,,,8621,CDK13,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,738.4100342,,,,,
1093670859,H8,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1060124720,0.1,,,8621,CDK13,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,225.8414001,,,,,
1093670859,H9,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1060124720,0.03,,,8621,CDK13,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,65.64136505,,,,,
1093670859,H10,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1060124720,0.0125,,,8621,CDK13,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,79.56835175,,,,,
1093670859,H11,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1060124720,0.003,,,8621,CDK13,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,88.31349945,,,,,
1093670859,H12,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1060124720,0.001,,,8621,CDK13,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,82.74751282,,,,,
1093670859,H13,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1060124720,0.0003,,,8621,CDK13,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,68.65127563,,,,,
1093670859,H14,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1060124720,0.00003,,,8621,CDK13,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,67.80651093,,,,,
1093670859,H15,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,30,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1174.71814,,,,,
1093670859,H16,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,10,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1250.794434,,,,,
1093670859,H17,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,3.125,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1206.744141,,,,,
1093670859,H18,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,1.25,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1261.157959,,,,,
1093670859,H19,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,0.3,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1254.583984,,,,,
1093670859,H20,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,0.1,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1238.953125,,,,,
1093670859,H21,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,0.03,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1198.355957,,,,,
1093670859,H22,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,0.0125,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,298.3651428,,,,,
1093670859,H23,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,0.003,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,128.7748566,,,,,
1093670859,H24,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,0.001,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,79.52445984,,,,,
1093670859,I1,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,0.0003,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,84.26865387,,,,,
1093670859,I2,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1039203637,0.00003,,,904,CCNT1,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,53.0549202,,,,,
