Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Compound Name,Compound PubChem CID,Proprietary Compound,Compound InChIKey,Compound SMILES,Comment [Gene Identifier],Comment [Gene Symbol],Control Type,Comment [Control Type Comments],Quality Control,Channels
1093711385,C13,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,,,,,,Stimulator Control,Leptomycin b blocks nuclear export of fascin,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C14,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7643,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C15,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7644,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C16,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7645,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C17,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7646,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C18,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7647,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C19,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7648,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C2,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN1094656636,,,2911,GRM1,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C20,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7649,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C21,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7650,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C22,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7651,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C23,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7652,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C3,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7634,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C4,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7635,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C5,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7636,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C6,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7637,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C7,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7638,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C8,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7639,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,C9,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7640,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D10,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7661,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D11,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7662,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D12,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7663,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D13,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7664,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D14,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7665,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D15,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7666,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D16,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN1044754720,,,5979,RET,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D17,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7668,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D18,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN1039173201,,,2932,GSK3B,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D19,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7670,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D2,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7653,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D20,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN0025630704,,,5156,PDGFRA,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D21,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7672,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D22,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN0150300989,,,1576,CYP3A4,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D23,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7674,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D3,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7654,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D4,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7655,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D5,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7656,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D6,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7657,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D7,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7658,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D8,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7659,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,D9,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7660,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E10,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN1056142846,,,472,ATM,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E11,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7682,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E12,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN1002348283,,,9971,NR1H4,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E13,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7684,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E14,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN1123533205,,,8883,NAE1,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E15,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7686,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E16,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN1003330042,,,3248,HPGD,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E17,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,,,,,,Neutral Control,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,E18,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,,,,,,Stimulator Control,Leptomycin b blocks nuclear export of fascin,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
